geographyid,region,date,monthsofsupply,mediansaleprice
13820,"Birmingham, AL",2013-06-01,4.0,186000
19460,"Decatur, AL",2013-06-01,4.0,119000
13820,"Birmingham, AL",2013-09-01,4.0,164000
23460,"Gadsden, AL",2014-04-01,5.5,87000
19460,"Decatur, AL",2014-11-01,7.3,131000
42460,"Scottsboro, AL",2014-11-01,5.1,93000
11500,"Anniston, AL",2015-09-01,8.2,86000
19460,"Decatur, AL",2015-10-01,4.2,116000
23460,"Gadsden, AL",2015-10-01,4.7,111000
26620,"Huntsville, AL",2016-05-01,4.1,175000
11500,"Anniston, AL",2017-02-01,7.1,97000
11500,"Anniston, AL",2017-03-01,5.1,99000
42460,"Scottsboro, AL",2017-03-01,4.6,139000
19460,"Decatur, AL",2017-05-01,3.5,121000
23460,"Gadsden, AL",2018-01-01,6.5,130000
10760,"Alexander City, AL",2018-03-01,4.5,137000
23460,"Gadsden, AL",2018-03-01,4.4,117000
45180,"Talladega, AL",2018-05-01,4.3,138000
45180,"Talladega, AL",2019-02-01,6.7,125000
23460,"Gadsden, AL",2019-04-01,4.7,144000
26620,"Huntsville, AL",2019-09-01,2.5,219000
23460,"Gadsden, AL",2019-10-01,5.6,139000
45180,"Talladega, AL",2019-10-01,6.5,145000
23460,"Gadsden, AL",2019-12-01,5.0,129000
19460,"Decatur, AL",2020-01-01,3.5,144000
42460,"Scottsboro, AL",2020-01-01,5.5,178000
10760,"Alexander City, AL",2020-03-01,7.0,210000
23460,"Gadsden, AL",2020-03-01,3.7,139000
10760,"Alexander City, AL",2020-06-01,3.5,114000
10760,"Alexander City, AL",2020-11-01,0.7,215000
26300,"Hot Springs, AR",2013-05-01,10.0,151000
11260,"Anchorage, AK",2013-01-01,7.7,256000
11260,"Anchorage, AK",2013-06-01,6.0,270000
11260,"Anchorage, AK",2016-01-01,6.9,265000
21820,"Fairbanks, AK",2018-01-01,4.4,235000
11260,"Anchorage, AK",2018-05-01,5.5,289000
11260,"Anchorage, AK",2020-09-01,1.8,307000
10700,"Albertville, AL",2012-05-01,4.9,110000
10700,"Albertville, AL",2012-12-01,5.0,85000
13820,"Birmingham, AL",2012-12-01,4.6,154000
42460,"Scottsboro, AL",2013-02-01,8.9,75000
22840,"Fort Payne, AL",2013-04-01,6.2,84000
23460,"Gadsden, AL",2013-08-01,4.4,94000
19460,"Decatur, AL",2014-04-01,4.0,118000
26620,"Huntsville, AL",2014-12-01,3.7,160000
11500,"Anniston, AL",2015-04-01,5.6,100000
42460,"Scottsboro, AL",2015-11-01,6.4,126000
45180,"Talladega, AL",2016-05-01,8.2,145000
10760,"Alexander City, AL",2017-05-01,1.4,118000
45180,"Talladega, AL",2017-07-01,6.9,118000
26620,"Huntsville, AL",2018-02-01,4.4,185000
11500,"Anniston, AL",2018-09-01,5.5,115000
45180,"Talladega, AL",2018-12-01,8.8,139000
26620,"Huntsville, AL",2019-08-01,2.1,220000
22840,"Fort Payne, AL",2020-02-01,5.1,149000
22840,"Fort Payne, AL",2020-04-01,5.3,144000
10700,"Albertville, AL",2020-11-01,2.2,176000
38220,"Pine Bluff, AR",2012-05-01,4.6,55000
12900,"Batesville, AR",2012-10-01,16.6,90000
12900,"Batesville, AR",2012-11-01,15.8,28000
26300,"Hot Springs, AR",2013-01-01,13.0,115000
12900,"Batesville, AR",2013-03-01,37.8,36000
31680,"Malvern, AR",2013-05-01,10.9,119000
12900,"Batesville, AR",2013-09-01,9.9,50000
31680,"Malvern, AR",2013-09-01,9.9,87000
31680,"Malvern, AR",2013-12-01,11.8,88000
26300,"Hot Springs, AR",2014-04-01,10.6,106000
42620,"Searcy, AR",2014-05-01,5.7,140000
26300,"Hot Springs, AR",2015-03-01,7.5,138000
38220,"Pine Bluff, AR",2015-03-01,7.1,78000
12900,"Batesville, AR",2015-04-01,14.1,57000
38220,"Pine Bluff, AR",2015-04-01,7.9,78000
31680,"Malvern, AR",2015-07-01,7.3,182000
31680,"Malvern, AR",2015-08-01,10.2,136000
12900,"Batesville, AR",2016-06-01,8.9,57000
21820,"Fairbanks, AK",2012-02-01,6.7,216000
11260,"Anchorage, AK",2012-03-01,7.7,245000
21820,"Fairbanks, AK",2012-07-01,3.7,211000
21820,"Fairbanks, AK",2013-12-01,6.1,209000
21820,"Fairbanks, AK",2020-09-01,1.8,237000
11260,"Anchorage, AK",2020-10-01,1.5,324000
19460,"Decatur, AL",2012-02-01,5.0,90000
22840,"Fort Payne, AL",2012-02-01,4.7,66000
19460,"Decatur, AL",2012-06-01,3.7,104000
23460,"Gadsden, AL",2012-09-01,5.0,111000
45180,"Talladega, AL",2012-11-01,4.8,105000
45180,"Talladega, AL",2012-12-01,6.9,116000
22840,"Fort Payne, AL",2013-01-01,6.0,105000
45180,"Talladega, AL",2013-06-01,4.6,130000
23460,"Gadsden, AL",2013-07-01,5.1,110000
19460,"Decatur, AL",2013-11-01,5.0,107000
45180,"Talladega, AL",2014-11-01,7.0,113000
10700,"Albertville, AL",2015-02-01,6.4,99000
19460,"Decatur, AL",2015-02-01,5.5,116000
13820,"Birmingham, AL",2015-04-01,3.5,180000
42460,"Scottsboro, AL",2015-04-01,3.9,81000
23460,"Gadsden, AL",2015-05-01,4.6,80000
42460,"Scottsboro, AL",2015-07-01,3.2,125000
42460,"Scottsboro, AL",2015-08-01,6.3,115000
42460,"Scottsboro, AL",2015-10-01,3.9,135000
13820,"Birmingham, AL",2016-01-01,7.3,163000
11500,"Anniston, AL",2016-02-01,12.0,91000
45180,"Talladega, AL",2016-04-01,5.6,125000
10700,"Albertville, AL",2016-05-01,4.6,135000
11500,"Anniston, AL",2016-05-01,6.6,115000
22840,"Fort Payne, AL",2017-02-01,5.2,104000
22840,"Fort Payne, AL",2017-05-01,3.7,125000
45180,"Talladega, AL",2017-05-01,7.0,145000
10700,"Albertville, AL",2017-10-01,4.5,140000
10700,"Albertville, AL",2018-02-01,6.1,121000
10700,"Albertville, AL",2018-05-01,3.7,141000
45180,"Talladega, AL",2018-06-01,4.9,136000
45180,"Talladega, AL",2018-08-01,6.5,158000
10700,"Albertville, AL",2019-07-01,4.1,184000
10700,"Albertville, AL",2020-03-01,3.9,148000
45180,"Talladega, AL",2020-03-01,4.7,135000
19460,"Decatur, AL",2020-06-01,2.0,179000
22840,"Fort Payne, AL",2020-07-01,2.5,150000
11500,"Anniston, AL",2020-08-01,2.6,140000
11260,"Anchorage, AK",2012-11-01,5.1,250000
21820,"Fairbanks, AK",2013-06-01,7.7,247000
11260,"Anchorage, AK",2013-08-01,5.1,284000
21820,"Fairbanks, AK",2013-08-01,6.3,200000
11260,"Anchorage, AK",2014-05-01,5.4,253000
21820,"Fairbanks, AK",2014-05-01,5.0,224000
11260,"Anchorage, AK",2017-01-01,6.1,275000
11260,"Anchorage, AK",2018-04-01,6.6,284000
45180,"Talladega, AL",2012-05-01,4.3,114000
22840,"Fort Payne, AL",2012-06-01,3.8,79000
11500,"Anniston, AL",2012-08-01,4.5,104000
10700,"Albertville, AL",2012-10-01,4.9,90000
