zillow_id,cbsa_id,cbsa_name
394516,19180,Danville
394520,19340,Davenport-Moline-Rock Island
394524,19500,Decatur
394535,19940,Dixon
394557,20820,Effingham
394616,23300,Freeport
394625,23660,Galesburg
394715,27300,Jacksonville
394734,28100,Kankakee
394795,30660,Lincoln
394812,31380,Macomb
394888,34500,Mount Vernon
394946,36837,Ottawa-Peru
394972,37900,Peoria
394992,38700,Pontiac
395010,39500,Quincy
395029,40300,Rochelle
395033,40420,Rockford
395114,44100,Springfield
395131,44580,Sterling
395150,45380,Taylorville
394331,11420,Angola
394349,12140,Auburn
394375,13260,Bedford
394393,14020,Bloomington
394489,18020,Columbus
394494,18220,Connersville
394507,18820,Crawfordsville
394525,19540,Decatur
394565,21140,Elkhart-Goshen
394579,21780,Evansville
394612,23060,Fort Wayne
394613,23140,Frankfort
394649,24700,Greensburg
394696,26540,Huntington
394705,26900,Indianapolis-Carmel-Anderson
394721,27540,Jasper
394739,28340,Kendallville
394755,29020,Kokomo
753895,29200,Lafayette-West Lafayette
394801,30900,Logansport
394815,31500,Madison
394826,31980,Marion
394857,33140,Michigan City-La Porte
394893,34620,Muncie
394906,35220,New Castle
394921,35860,North Vernon
394973,37940,Peru
394987,38500,Plymouth
395021,39980,Richmond
395087,42980,Seymour
395107,43780,South Bend-Mishawaka
395151,45460,Terre Haute
395192,47180,Vincennes
395196,47340,Wabash
395205,47700,Warsaw
395207,47780,Washington
753864,49060,Arkansas City-Winfield
394342,11860,Atchison
394481,17700,Coffeyville
394536,19980,Dodge City
394569,21380,Emporia
394627,23780,Garden City
394643,24460,Great Bend
394673,25700,Hays
394701,26740,Hutchinson
753894,27920,Junction City
394778,29940,Lawrence
394793,30580,Liberal
394821,31740,Manhattan
394846,32700,McPherson
753909,36840,Ottawa
394965,37660,Parsons
394981,38260,Pittsburg
395049,41460,Salina
395161,45820,Topeka
395224,48620,Wichita
753865,12680,Bardstown
394406,14540,Bowling Green
394436,15820,Campbellsville
394517,19220,Danville
394563,21060,Elizabethtown-Fort Knox
394614,23180,Frankfort
394632,23980,Glasgow
394792,30460,Lexington-Fayette
394802,30940,London
394807,31140,Louisville/Jefferson County
394817,31580,Madisonville
394840,32460,Mayfield
394841,32500,Maysville
394858,33180,Middlesborough
394887,34460,Mount Sterling
394894,34660,Murray
394949,36980,Owensboro
394953,37140,Paducah
395023,40080,Richmond-Berea
395105,43700,Somerset
394314,10780,Alexandria
394364,12820,Bastrop
394367,12940,Baton Rouge
394398,14220,Bogalusa
394522,19760,DeRidder
394608,22860,Fort Polk South
394661,25220,Hammond
394691,26380,Houma-Thibodaux
394761,29180,Lafayette
394763,29340,Lake Charles
394872,33740,Monroe
394878,34020,Morgan City
394904,35060,Natchitoches
394910,35380,New Orleans-Metairie
394941,36660,Opelousas
395043,40820,Ruston
395096,43340,Shreveport-Bossier City
394361,12700,Barnstable Town
394404,14460,Boston-Cambridge-Nashua
753883,73300,Greenfield Town
394983,38340,Pittsfield
395115,44140,Springfield
753925,47240,Vineyard Haven
395238,49340,Worcester
394358,12580,Baltimore-Columbia-Towson
753872,15680,California-Lexington Park
394433,15700,Cambridge
394513,19060,Cumberland
394554,20660,Easton
394660,25180,Hagerstown-Martinsburg
394353,70600,Augusta
394359,12620,Bangor
394788,30340,Lewiston-Auburn
394997,38860,Portland-South Portland
394302,10300,Adrian
394319,10940,Alma
394320,10980,Alpena
394332,11460,Ann Arbor
394368,12980,Battle Creek
394369,13020,Bay City
394384,13660,Big Rapids
394431,15620,Cadillac
394482,17740,Coldwater
394532,19820,Detroit-Warren-Dearborn
394573,21540,Escanaba
394596,22420,Flint
394640,24340,Grand Rapids-Wyoming
753889,25880,Hillsdale
753890,26090,Holland
394690,26340,Houghton
753891,26960,Ionia
394708,27020,Iron Mountain
394710,27100,Jackson
394732,28020,Kalamazoo-Portage
394770,29620,Lansing-East Lansing
753901,31220,Ludington
394829,32100,Marquette
394859,33220,Midland
394873,33780,Monroe
394885,34380,Mount Pleasant
394896,34740,Muskegon
394917,35660,Niles-Benton Harbor
394950,37020,Owosso
395047,40980,Saginaw
395069,42300,Sault Ste. Marie
395136,44780,Sturgis
395163,45900,Traverse City
394310,10660,Albert Lea
394315,10820,Alexandria
394354,12380,Austin
394379,13420,Bemidji
394410,14660,Brainerd
394543,20260,Duluth
394586,22060,Faribault-Northfield
394591,22260,Fergus Falls
394702,26780,Hutchinson
394823,31860,Mankato-North Mankato
394830,32140,Marshall
394865,33460,Minneapolis-St. Paul-Bloomington
394912,35580,New Ulm
394948,36940,Owatonna
395017,39860,Red Wing
395030,40340,Rochester
395118,41060,St. Cloud
395228,48820,Willmar
395234,49100,Winona
395239,49380,Worthington
394411,14700,Branson
394441,16020,Cape Girardeau
394485,17860,Columbia
394587,22100,Farmington
394604,22780,Fort Leonard Wood
394663,25300,Hannibal
394723,27620,Jefferson City
394729,27900,Joplin
394735,28140,Kansas City
394740,28380,Kennett
394751,28860,Kirksville
394781,30060,Lebanon
394831,32180,Marshall
394837,32340,Maryville
394854,33020,Mexico
394869,33620,Moberly
394993,38740,Poplar Bluff
395037,40620,Rolla
395081,42740,Sedalia
395099,43460,Sikeston
395116,44180,Springfield
395120,41140,St. Joseph
395121,41180,St. Louis
395204,47660,Warrensburg
395219,48460,West Plains
394417,15020,Brookhaven
394470,17260,Clarksdale
394473,17380,Cleveland
394490,18060,Columbus
394499,18420,Corinth
394650,24740,Greenville
394654,24900,Greenwood
394656,24980,Grenada
394658,25060,Gulfport-Biloxi-Pascagoula
394671,25620,Hattiesburg
394706,26940,Indianola
394711,27140,Jackson
394776,29860,Laurel
394844,32620,McComb
394852,32940,Meridian
394903,35020,Natchez
394951,37060,Oxford
394977,38100,Picayune
395124,44260,Starkville
395170,46180,Tupelo
395189,46980,Vicksburg
394386,13740,Billings
394407,14580,Bozeman
394430,15580,Butte-Silver Bow
394644,24500,Great Falls
394675,25740,Helena
394733,28060,Kalispell
394867,33540,Missoula
394309,10620,Albemarle
394338,11700,Asheville
394402,14380,Boone
394414,14820,Brevard
394428,15500,Burlington
394458,16740,Charlotte-Concord-Gastonia
