geographyid,unemploymentrate,date
40140,6.0,2015-11-01
40140,5.7,2015-12-01
40140,6.0,2016-01-01
40140,5.9,2016-02-01
40140,6.0,2016-03-01
40140,5.7,2016-04-01
40140,5.4,2016-05-01
40140,6.4,2016-06-01
40140,6.7,2016-07-01
40140,6.5,2016-08-01
40140,6.1,2016-09-01
40140,6.0,2016-10-01
40140,5.5,2016-11-01
40140,5.3,2016-12-01
40140,5.8,2017-01-01
40140,5.5,2017-02-01
40140,5.3,2017-03-01
40140,4.8,2017-04-01
40140,4.6,2017-05-01
40140,5.4,2017-06-01
40140,5.7,2017-07-01
40140,5.6,2017-08-01
40140,4.9,2017-09-01
40140,4.7,2017-10-01
40140,4.5,2017-11-01
40140,4.3,2017-12-01
40140,4.6,2018-01-01
40140,4.5,2018-02-01
40140,4.3,2018-03-01
40140,3.9,2018-04-01
40140,3.7,2018-05-01
40140,4.6,2018-06-01
40140,4.8,2018-07-01
40140,4.7,2018-08-01
40140,4.2,2018-09-01
40140,4.2,2018-10-01
40140,4.0,2018-11-01
40140,4.1,2018-12-01
40140,4.6,2019-01-01
40140,4.2,2019-02-01
40140,4.2,2019-03-01
40140,3.6,2019-04-01
40140,3.5,2019-05-01
40140,4.2,2019-06-01
40140,4.6,2019-07-01
40140,4.4,2019-08-01
40140,3.8,2019-09-01
40140,3.9,2019-10-01
40140,3.7,2019-11-01
40140,3.5,2019-12-01
40140,4.1,2020-01-01
40140,4.0,2020-02-01
40140,5.2,2020-03-01
40140,14.7,2020-04-01
40140,15.1,2020-05-01
40140,14.3,2020-06-01
40140,13.4,2020-07-01
40140,10.5,2020-08-01
40140,10.2,2020-09-01
40140,8.7,2020-10-01
40140,7.9,2020-11-01
40900,11.3,2012-01-01
40900,11.2,2012-02-01
40900,11.1,2012-03-01
40900,10.3,2012-04-01
40900,10.1,2012-05-01
40900,10.6,2012-06-01
40900,10.8,2012-07-01
40900,10.2,2012-08-01
40900,9.5,2012-09-01
40900,9.6,2012-10-01
40900,9.4,2012-11-01
40900,9.5,2012-12-01
40900,10.0,2013-01-01
40900,9.4,2013-02-01
40900,9.1,2013-03-01
40900,8.4,2013-04-01
40900,8.3,2013-05-01
40900,9.0,2013-06-01
40900,9.0,2013-07-01
40900,8.6,2013-08-01
40900,8.2,2013-09-01
40900,8.3,2013-10-01
40900,8.0,2013-11-01
40900,7.7,2013-12-01
40900,8.1,2014-01-01
40900,8.1,2014-02-01
40900,7.9,2014-03-01
40900,6.9,2014-04-01
40900,6.9,2014-05-01
40900,7.1,2014-06-01
40900,7.5,2014-07-01
40900,7.2,2014-08-01
40900,6.6,2014-09-01
40900,6.6,2014-10-01
40900,6.5,2014-11-01
40900,6.2,2014-12-01
40900,6.7,2015-01-01
40900,6.4,2015-02-01
40900,6.2,2015-03-01
40900,5.7,2015-04-01
40900,5.7,2015-05-01
40900,6.0,2015-06-01
40900,6.1,2015-07-01
40900,5.7,2015-08-01
40900,5.4,2015-09-01
40900,5.5,2015-10-01
40900,5.5,2015-11-01
40900,5.3,2015-12-01
40900,5.6,2016-01-01
40900,5.5,2016-02-01
40900,5.6,2016-03-01
40900,5.1,2016-04-01
40900,4.8,2016-05-01
40900,5.4,2016-06-01
40900,5.6,2016-07-01
40900,5.4,2016-08-01
40900,5.2,2016-09-01
40900,5.2,2016-10-01
40900,5.0,2016-11-01
40900,4.9,2016-12-01
40900,5.5,2017-01-01
40900,5.2,2017-02-01
40900,4.9,2017-03-01
40900,4.5,2017-04-01
40900,4.2,2017-05-01
40900,4.7,2017-06-01
40900,4.9,2017-07-01
40900,4.7,2017-08-01
40900,4.1,2017-09-01
40900,4.0,2017-10-01
40900,4.0,2017-11-01
40900,3.9,2017-12-01
40900,4.3,2018-01-01
40900,4.2,2018-02-01
40900,4.1,2018-03-01
40900,3.6,2018-04-01
40900,3.2,2018-05-01
40900,4.0,2018-06-01
40900,4.0,2018-07-01
40900,3.9,2018-08-01
40900,3.5,2018-09-01
40900,3.6,2018-10-01
40900,3.6,2018-11-01
40900,3.7,2018-12-01
40900,4.4,2019-01-01
40900,4.0,2019-02-01
40900,4.0,2019-03-01
40900,3.4,2019-04-01
40900,3.2,2019-05-01
40900,3.7,2019-06-01
40900,3.9,2019-07-01
40900,3.7,2019-08-01
40900,3.1,2019-09-01
40900,3.3,2019-10-01
40900,3.2,2019-11-01
40900,3.2,2019-12-01
40900,3.9,2020-01-01
40900,3.8,2020-02-01
40900,4.8,2020-03-01
40900,14.0,2020-04-01
40900,13.7,2020-05-01
40900,12.8,2020-06-01
40900,11.6,2020-07-01
40900,9.0,2020-08-01
40900,8.7,2020-09-01
40900,7.3,2020-10-01
40900,6.7,2020-11-01
41740,9.8,2012-01-01
41740,9.7,2012-02-01
41740,9.6,2012-03-01
41740,8.9,2012-04-01
41740,8.9,2012-05-01
41740,9.5,2012-06-01
41740,9.7,2012-07-01
41740,9.3,2012-08-01
41740,8.6,2012-09-01
41740,8.7,2012-10-01
41740,8.4,2012-11-01
41740,8.2,2012-12-01
41740,8.8,2013-01-01
41740,8.3,2013-02-01
41740,8.0,2013-03-01
41740,7.5,2013-04-01
41740,7.5,2013-05-01
41740,8.2,2013-06-01
41740,8.3,2013-07-01
41740,8.0,2013-08-01
41740,7.6,2013-09-01
41740,7.7,2013-10-01
41740,7.2,2013-11-01
41740,6.8,2013-12-01
41740,7.1,2014-01-01
41740,7.1,2014-02-01
41740,7.0,2014-03-01
41740,6.2,2014-04-01
41740,6.2,2014-05-01
41740,6.5,2014-06-01
41740,6.9,2014-07-01
41740,6.6,2014-08-01
41740,6.1,2014-09-01
41740,6.0,2014-10-01
41740,5.9,2014-11-01
41740,5.4,2014-12-01
41740,5.9,2015-01-01
41740,5.5,2015-02-01
41740,5.4,2015-03-01
41740,5.0,2015-04-01
41740,5.1,2015-05-01
41740,5.3,2015-06-01
41740,5.6,2015-07-01
41740,5.2,2015-08-01
41740,4.9,2015-09-01
41740,5.0,2015-10-01
41740,4.9,2015-11-01
41740,4.7,2015-12-01
41740,4.9,2016-01-01
41740,4.8,2016-02-01
41740,4.9,2016-03-01
41740,4.6,2016-04-01
41740,4.3,2016-05-01
41740,5.0,2016-06-01
41740,5.1,2016-07-01
41740,5.0,2016-08-01
41740,4.7,2016-09-01
41740,4.7,2016-10-01
41740,4.4,2016-11-01
41740,4.2,2016-12-01
41740,4.7,2017-01-01
41740,4.4,2017-02-01
41740,4.2,2017-03-01
41740,3.8,2017-04-01
41740,3.7,2017-05-01
41740,4.2,2017-06-01
41740,4.4,2017-07-01
41740,4.3,2017-08-01
41740,3.8,2017-09-01
41740,3.7,2017-10-01
41740,3.6,2017-11-01
41740,3.4,2017-12-01
41740,3.7,2018-01-01
41740,3.5,2018-02-01
41740,3.4,2018-03-01
41740,3.1,2018-04-01
41740,2.9,2018-05-01
41740,3.6,2018-06-01
41740,3.7,2018-07-01
41740,3.6,2018-08-01
41740,3.2,2018-09-01
41740,3.3,2018-10-01
41740,3.3,2018-11-01
41740,3.3,2018-12-01
41740,3.8,2019-01-01
41740,3.4,2019-02-01
41740,3.5,2019-03-01
41740,2.9,2019-04-01
41740,2.8,2019-05-01
41740,3.3,2019-06-01
41740,3.6,2019-07-01
41740,3.4,2019-08-01
41740,2.9,2019-09-01
41740,3.0,2019-10-01
41740,2.9,2019-11-01
41740,2.8,2019-12-01
41740,3.3,2020-01-01
41740,3.2,2020-02-01
41740,4.2,2020-03-01
41740,15.0,2020-04-01
41740,15.2,2020-05-01
41740,13.8,2020-06-01
41740,12.4,2020-07-01
41740,9.5,2020-08-01
